date,common_name,total_length,tail_length,hf_length,ear_length,weight,sex,age
2016-07-22,prairie vole,NA,33,19,NA,44,f,a
2016-07-23,prairie vole,NA,38,19,NA,38,m,a
2016-07-23,prairie vole,NA,26,17,NA,12,m,juv
2016-07-23,prairie vole,NA,28,17,NA,10,f,juv
2016-07-23,prairie vole,NA,35,19,NA,48,f,a
2016-07-23,prairie vole,NA,40,20,NA,45,m,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-21,prairie vole,NA,34,20,13,34,f,a
2016-07-22,prairie vole,NA,38,20,NA,40,m,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,34,20,NA,38,f,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,33,20,NA,37,m,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,31,19,NA,30,m,a
2016-07-23,prairie vole,NA,34,18,NA,36,m,a
2016-07-22,prairie vole,NA,32,19,NA,25,f,a
2016-07-22,prairie vole,NA,35,19,NA,40,m,a
2016-07-29,prairie vole,150,36,14,21,37,f,a
2016-07-27,prairie vole,130,31,16,20,26.1,f,juv
2016-07-29,prairie vole,133,33,14,19,24.4,f,sa
2016-08-04,prairie vole,NA,NA,NA,NA,44,m,a
2016-08-05,prairie vole,NA,NA,NA,NA,NA,m,a
2016-07-15,prairie vole,125,30,12,19,24.2,m,juv
2016-07-13,prairie vole,160,35,15,20,49.6,f,a
2016-07-15,prairie vole,130,34,13,20,22.2,f,juv
2016-07-13,prairie vole,134,29,14,19,25.1,f,sa
2016-07-14,prairie vole,155,35,15,19,41.1,m,a
2016-07-14,prairie vole,149,33,15,19,35.6,f,a
2016-07-21,prairie vole,NA,37,21,NA,28,f,a
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-22,prairie vole,NA,30,11,19,25,m,a
2016-07-12,prairie vole,123,32,12,18,24.5,m,a
2016-07-13,prairie vole,142,31,14,18,36.8,f,a
2016-07-12,prairie vole,149,35,13,21,36.4,m,a
2016-07-13,prairie vole,111,25,13,17,14.3,f,sa
2016-07-14,prairie vole,111,29,14,18,15.1,f,sa
2016-07-21,prairie vole,NA,32,20,NA,30,f,a
2016-07-22,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-23,prairie vole,NA,NA,NA,NA,NA,NA,NA
2016-07-20,prairie vole,NA,29,18,13,18,f,juv
2016-07-22,prairie vole,NA,27,18,NA,18,m,sa
2016-07-23,prairie vole,NA,32,18,NA,NA,m,a
2016-07-22,prairie vole,NA,30,20,NA,34,f,a
2016-07-28,prairie vole,144,37,15,20,40.1,m,a
2016-07-26,prairie vole,128,28,14,20,22.6,f,juv
2016-07-27,prairie vole,115,27,14,20,23.2,f,juv
2016-07-26,prairie vole,149,39,15,21,43,f,sa
2016-07-27,prairie vole,145,36,15,20,33.8,m,a
2016-07-27,prairie vole,149,39,16,20,49.7,f,a
2016-07-29,prairie vole,119,29,13,20,21.8,f,juv
2016-07-28,prairie vole,160,41,14,20,43.3,f,a
2016-07-29,prairie vole,164,44,14,21,42,m,a
2016-07-13,prairie vole,141,27,16,19,31.2,m,a
2016-07-15,prairie vole,99,22,10,18,10.8,m,juv
2016-07-15,prairie vole,150,34,14,20,34.5,f,a
2016-07-13,prairie vole,146,32,15,17,34.7,f,a
2016-07-14,prairie vole,155,36,16,20,37.4,m,a
2016-07-15,prairie vole,147,40,12,20,31.1,m,a
2016-07-14,prairie vole,148,36,16,18,36.2,m,a
2016-07-13,prairie vole,140,29,13,20,35.5,f,a
2016-07-22,prairie vole,NA,35,19,NA,41,m,a
