DataCode,Rectype,RecYear,Date,Watershed,Transect,TrapStation,Species,SpecimenNo1,SpecimenNo2,VoucherNo,RecaptureStatus,Disposition,TotalLength,TailLength,HFLength,EarLength,Weight,Sex,Age,ReprodCondition,Comments
csm08,1,2016,7/14/16,4B,E,17,BLHY,,,NK269728,N,V,109,19,4,12,12.4,F,A,CSN,
csm08,1,2016,7/21/16,4B,W,12,BLHY,,,NK269855,N,V,98,23,,13,10,M,A,NS,
csm08,1,2016,7/22/16,4B,W,15,BLHY,,,NK269856,N,V,105,24,,14,10.5,M,A,NS,M?
csm08,1,2016,7/22/16,4B,W,18,BLHY,,,NK269857,N,V,107,22,,14,22,M,A,NS,
csm08,1,2016,7/23/16,4B,W,18,BLHY,,,NK269858,N,V,107,17,,13,13,M,A,S,
csm08,1,2016,7/13/16,4F,E,11,BLHY,,,NK269690,N,V,109,21,5,13,13.2,F,A,CSN,
csm08,1,2016,7/14/16,4F,E,16,BLHY,,,NK269722,N,V,95,12,5,12,.,M,A,S,missing weight
csm08,1,2016,7/12/16,4F,E,19,BLHY,,,NK269665,N,V,108,24,3,14,13.7,F,A,OEL,
csm08,1,2016,7/22/16,4F,W,4,BLHY,,,NK269860,N,V,109,23,,14,12,F,A,OEN,
csm08,1,2016,7/29/16,R20A,E,20,BLHY,,,NK269833,N,V,99,22,4,14,12.7,F,A,OSN,
csm08,1,2016,8/5/16,R20A,W,13,BLHY,,,NK269859,N,V,101,22,,14,11,M,A,,
csm08,1,2016,7/23/16,4B,W,3,CHHI,230,,,N,R,,110,28,13,48,F,A,CEN,
csm08,1,2016,7/27/16,R1A,N,6,CHHI,,,NK269796,N,V,198,99,11,26,31,M,A,S,
csm08,1,2016,8/5/16,R20A,W,17,CHHI,,,NK269880,N,V,,,,,,,,,
csm08,1,2016,7/22/16,1D,E,2,MIOC,278,,,N,R,,33,19,,44,F,A,CEN,
csm08,1,2016,7/23/16,1D,E,2,MIOC,212,,,N,R,,38,19,,38,M,A,S,
csm08,1,2016,7/23/16,1D,E,2,MIOC,277,,,N,R,,26,17,,12,M,Juv,NS,
csm08,1,2016,7/23/16,1D,E,4,MIOC,266,,,N,R,,28,17,,10,F,Juv,CSN,
csm08,1,2016,7/23/16,1D,E,7,MIOC,155,,,N,R,,35,19,.,48,F,A,CEN,missing for ear length
csm08,1,2016,7/23/16,1D,E,7,MIOC,230,,,N,R,,40,20,.,45,M,A,S,missing for ear length
csm08,1,2016,7/23/16,1D,E,10,MIOC,269,,,Y,R,,,,,,,,,
csm08,1,2016,7/21/16,1D,E,11,MIOC,269,,,N,R,,34,20,13,34,F,A,CSN,
csm08,1,2016,7/22/16,1D,E,11,MIOC,236,,,N,R,,38,20,,40,M,A,S,
csm08,1,2016,7/22/16,1D,E,11,MIOC,269,,,Y,R,,,,,,,,,
csm08,1,2016,7/22/16,1D,E,12,MIOC,211,,,N,R,,34,20,,38,F,A,,
csm08,1,2016,7/23/16,1D,E,12,MIOC,170,,,Y,R,,,,,,,,,
csm08,1,2016,7/22/16,1D,E,13,MIOC,170,,,N,R,,33,20,,37,M,A,NS,
csm08,1,2016,7/23/16,1D,E,13,MIOC,211,,,Y,R,,,,,,,,,
csm08,1,2016,7/22/16,1D,E,16,MIOC,108,,,N,R,,31,19,,30,M,A,NS,
csm08,1,2016,7/23/16,1D,E,16,MIOC,228,,,N,R,,34,18,,36,M,A,NS,
csm08,1,2016,7/22/16,1D,E,18,MIOC,261,,,N,R,,32,19,,25,F,A,CSN,
csm08,1,2016,7/22/16,1D,E,20,MIOC,279,,,N,R,,35,19,,40,M,A,NS,
csm08,1,2016,7/29/16,1D,W,2,MIOC,,,NK269830,N,V,150,36,14,21,37,F,A,CSN,
csm08,1,2016,7/27/16,1D,W,9,MIOC,,,NK269785,N,V,130,31,16,20,26.1,F,JUV,CSN,
csm08,1,2016,7/29/16,1D,W,12,MIOC,,,NK269832,N,V,133,33,14,19,24.4,F,SA,CSN,
csm08,1,2016,8/4/16,20B,E,1,MIOC,324,,,N,R,,,,,44,M,A,S,
csm08,1,2016,8/5/16,20B,E,3,MIOC,324,,,Y,R,,,,,,M,A,S,
csm08,1,2016,7/15/16,4B,E,1,MIOC,,,NK269750,N,V,125,30,12,19,24.2,M,JUV,NS,
csm08,1,2016,7/13/16,4B,E,2,MIOC,,,NK269687,N,V,160,35,15,20,49.6,F,A,CSN,
csm08,1,2016,7/15/16,4B,E,2,MIOC,,,NK269748,N,V,130,34,13,20,22.2,F,JUV,CSN,
csm08,1,2016,7/13/16,4B,E,3,MIOC,,,NK269688,N,V,134,29,14,19,25.1,F,SA,CSN,
csm08,1,2016,7/14/16,4B,E,8,MIOC,,,NK269729,N,V,155,35,15,19,41.1,M,A,S,
csm08,1,2016,7/14/16,4B,E,20,MIOC,,,NK269731,N,V,149,33,15,19,35.6,F,A,OLL,
csm08,1,2016,7/21/16,4B,W,9,MIOC,227,,,N,R,,37,21,,28,F,A,CSN,
csm08,1,2016,7/23/16,4B,W,9,MIOC,227,,,Y,R,,,,,,,,,
csm08,1,2016,7/22/16,4B,W,16,MIOC,141,,,N,R,,30,11,19,25,M,A,NS,
csm08,1,2016,7/12/16,4F,E,4,MIOC,,,NK269666,N,V,123,32,12,18,24.5,M,A,NS,
csm08,1,2016,7/13/16,4F,E,4,MIOC,,,NK269692,N,V,142,31,14,18,36.8,F,A,OLL,
csm08,1,2016,7/12/16,4F,E,11,MIOC,,,NK269668,N,V,149,35,13,21,36.4,M,A,S,
csm08,1,2016,7/13/16,4F,E,14,MIOC,,,NK269695,N,V,111,25,13,17,14.3,F,SA,CSN,
csm08,1,2016,7/14/16,4F,E,14,MIOC,,,NK269725,N,V,111,29,14,18,15.1,F,SA,CSN,
csm08,1,2016,7/21/16,4F,W,1,MIOC,272,,,N,R,,32,20,,30,F,A,CSN,
